id_municipio;uf;municipio;longitude;latitude;codigo_ibge
5178;SP;POÁ;-46,347292;-23,533285;353980
2894;PE;POÇÃO;-36,711137;-8,187258;
1273;MA;POÇÃO DE PEDRAS;-44,943199;-4,74626;
2691;PB;POCINHOS;-36,066779;-7,06658;251200
3770;RN;POÇO BRANCO;-35,663535;-5,622326;
2692;PB;POÇO DANTAS;-38,490908;-6,398763;251203
4196;RS;POÇO DAS ANTAS;-51,671938;-29,448097;
101;AL;POÇO DAS TRINCHEIRAS;-37,288932;-9,307417;
2693;PB;POÇO DE JOSÉ DE MOURA;-38,511054;-6,564011;
1948;MG;POÇO FUNDO;-45,96575;-21,780002;
4708;SE;POÇO REDONDO;-37,683263;-9,806155;
4709;SE;POÇO VERDE;-38,181294;-10,715129;
510;BA;POÇÕES;-40,363354;-14,523391;292510
2359;MT;POCONÉ;-56,626099;-16,266037;510650
1949;MG;POÇOS DE CALDAS;-46,569184;-21,779975;315180
1950;MG;POCRANE;-41,633425;-19,620795;
511;BA;POJUCA;-38,337436;-12,430336;292520
5179;SP;POLONI;-49,825756;-20,782909;353990
2694;PB;POMBAL;-37,80027;-6,766059;251210
2895;PE;POMBOS;-35,396732;-8,139816;261130
4561;SC;POMERODE;-49,178456;-26,738355;421320
5180;SP;POMPÉIA;-50,175964;-22,10704;354000
1951;MG;POMPÉU;-45,014107;-19,22566;315200
5181;SP;PONGAÍ;-49,360421;-21,73956;354010
2494;PA;PONTA DE PEDRAS;-48,866073;-1,395873;150570
3448;PR;PONTA GROSSA;-50,166787;-25,091622;411990
2256;MS;PONTA PORÃ;-55,720326;-22,529617;500660
5182;SP;PONTAL;-48,042261;-21,021565;354020
2360;MT;PONTAL DO ARAGUAIA;-52,327296;-15,927383;510665
3449;PR;PONTAL DO PARANÁ;-48,511062;-25,673533;411995
1068;GO;PONTALINA;-49,44894;-17,522513;521770
5183;SP;PONTALINDA;-50,525754;-20,439624;354025
4197;RS;PONTÃO;-52,679091;-28,058478;
4562;SC;PONTE ALTA;-50,376404;-27,483497;
5478;TO;PONTE ALTA DO BOM JESUS;-46,482541;-12,085297;
4563;SC;PONTE ALTA DO NORTE;-50,465947;-27,159112;
5479;TO;PONTE ALTA DO TOCANTINS;-47,527577;-10,748118;171790
2361;MT;PONTE BRANCA;-52,836864;-16,758407;
1952;MG;PONTE NOVA;-42,897819;-20,4111;315210
4198;RS;PONTE PRETA;-52,484817;-27,658692;
4564;SC;PONTE SERRADA;-52,01125;-26,873278;
2362;MT;PONTES E LACERDA;-59,343544;-15,221868;510675
5184;SP;PONTES GESTAL;-49,706355;-20,172692;354030
864;ES;PONTO BELO;-40,545801;-18,125318;
1953;MG;PONTO CHIQUE;-45,05877;-16,628233;
1954;MG;PONTO DOS VOLANTES;-41,502477;-16,747314;315217
512;BA;PONTO NOVO;-40,131144;-10,8653;
5185;SP;POPULINA;-50,538035;-19,945297;354040
763;CE;PORANGA;-40,920533;-4,746717;
5186;SP;PORANGABA;-48,119464;-23,17615;
1069;GO;PORANGATU;-49,150282;-13,439102;521800
3629;RJ;PORCIÚNCULA;-42,046477;-20,96321;330410
3450;PR;PORECATU;-51,37949;-22,753724;412000
3771;RN;PORTALEGRE;-37,986524;-6,02064;
4199;RS;PORTÃO;-51,242895;-29,701533;
1070;GO;PORTEIRÃO;-50,165322;-17,81428;521805
764;CE;PORTEIRAS;-39,114028;-7,522647;231110
1955;MG;PORTEIRINHA;-43,02809;-15,74042;315220
2495;PA;PORTEL;-50,81942;-1,936388;
1071;GO;PORTELÂNDIA;-52,679939;-17,355381;521810
3113;PI;PORTO;-42,69982;-3,888154;
15;AC;PORTO ACRE;-67,547815;-9,581378;
4200;RS;PORTO ALEGRE;-51,206533;-30,031771;431490
2363;MT;PORTO ALEGRE DO NORTE;-51,635731;-10,876126;
3114;PI;PORTO ALEGRE DO PIAUÍ;-44,183668;-6,964228;
5480;TO;PORTO ALEGRE DO TOCANTINS;-47,062126;-11,61797;
3451;PR;PORTO AMAZONAS;-49,894591;-25,540002;
3452;PR;PORTO BARREIRO;-52,406744;-25,547696;
4565;SC;PORTO BELO;-48,546865;-27,158569;421350
102;AL;PORTO CALVO;-35,398653;-9,051948;270730
4710;SE;PORTO DA FOLHA;-37,284233;-9,916264;280560
2496;PA;PORTO DE MOZ;-52,236071;-1,746906;
103;AL;PORTO DE PEDRAS;-35,304914;-9,160065;
3772;RN;PORTO DO MANGUE;-36,78871;-5,054413;
2364;MT;PORTO DOS GAÚCHOS;-57,413233;-11,532999;510680
2365;MT;PORTO ESPERIDIÃO;-58,461925;-15,857026;510682
2366;MT;PORTO ESTRELA;-57,220403;-15,323517;
5187;SP;PORTO FELIZ;-47,52512;-23,209318;354060
5188;SP;PORTO FERREIRA;-47,487034;-21,849814;354070
1956;MG;PORTO FIRME;-43,08341;-20,664191;
1274;MA;PORTO FRANCO;-47,396188;-6,34149;
198;AP;PORTO GRANDE;-51,415499;0,71243;
4201;RS;PORTO LUCENA;-55,010028;-27,85688;
4202;RS;PORTO MAUÁ;-54,665739;-27,579579;
2257;MS;PORTO MURTINHO;-57,883586;-21,698078;500690
5481;TO;PORTO NACIONAL;-48,408008;-10,702705;171820
3630;RJ;PORTO REAL;-44,295167;-22,417472;330411
104;AL;PORTO REAL DO COLÉGIO;-36,837551;-10,18489;
3453;PR;PORTO RICO;-53,267731;-22,774742;412020
1275;MA;PORTO RICO DO MARANHÃO;-44,584229;-1,859247;
513;BA;PORTO SEGURO;-39,064251;-16,443473;292530
4566;SC;PORTO UNIÃO;-51,075858;-26,245075;
3866;RO;PORTO VELHO;-63,899902;-8,760772;110020
4203;RS;PORTO VERA CRUZ;-54,89937;-27,740504;
3454;PR;PORTO VITÓRIA;-51,230976;-26,167404;
16;AC;PORTO WALTER;-72,753747;-8,263233;
4204;RS;PORTO XAVIER;-55,13791;-27,908182;
1072;GO;POSSE;-46,370407;-14,085943;521830
1957;MG;POTÉ;-41,786044;-17,807698;315240
765;CE;POTENGI;-40,023292;-7,09154;231120
5189;SP;POTIM;-45,255205;-22,834327;354075
514;BA;POTIRAGUÁ;-39,863846;-15,59429;
5190;SP;POTIRENDABA;-49,381509;-21,042789;354080
766;CE;POTIRETAMA;-38,157804;-5,71287;231123
1958;MG;POUSO ALEGRE;-45,938935;-22,22659;315250
1959;MG;POUSO ALTO;-44,974813;-22,19637;
4205;RS;POUSO NOVO;-52,213588;-29,173793;
4567;SC;POUSO REDONDO;-49,930098;-27,256725;
2367;MT;POXORÉO;-54,388276;-15,841012;
5191;SP;PRACINHA;-51,086791;-21,849563;
199;AP;PRACUÚBA;-50,789248;1,745427;
515;BA;PRADO;-39,222721;-17,336357;292550
3455;PR;PRADO FERREIRA;-51,442883;-23,035698;412033
5192;SP;PRADÓPOLIS;-48,067869;-21,362578;354090
1960;MG;PRADOS;-44,077798;-21,059748;
4568;SC;PRAIA GRANDE;-49,952503;-29,191846;354100
5193;SP;PRAIA GRANDE;-46,412057;-24,008378;354100
5482;TO;PRAIA NORTE;-47,811144;-5,392812;
2497;PA;PRAINHA;-53,477903;-1,797999;150600
3456;PR;PRANCHITA;-53,741112;-26,021968;
1961;MG;PRATA;-48,927625;-19,308607;251220
2695;PB;PRATA;-37,080088;-7,688261;251220
3115;PI;PRATA DO PIAUÍ;-42,204644;-5,672653;
5194;SP;PRATÂNIA;-48,663618;-22,811183;
1962;MG;PRATÁPOLIS;-46,862402;-20,74105;
